DBN,School-Grade,School,Grade,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3-4,% Level 3-4,Average Class Size,Smallest Class Size,Largest Class Size
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY-3,P.S. 3 RAUL JULIA MICRO SOCIETY,3,300,4,21.1,8,42.1,7,36.8,0,0.0,7,36.8,17,17,17
15K676,RED HOOK NEIGHBORHOOD SCHOOL-3,RED HOOK NEIGHBORHOOD SCHOOL,3,292,11,37.9,9,31.3,9,31.3,0,0.0,9,31.3,19,19,19
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL-3,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,3,302,4,30.8,5,38.5,4,30.8,0,0.0,4,30.8,12,12,12
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL-3,BRIGHTER CHOICE COMMUNITY SCHOOL,3,302,5,18.5,14,51.9,8,29.6,0,0.0,8,29.6,19,19,19
23K284,P.S. 284 LEW WALLACE-3,P.S. 284 LEW WALLACE,3,290,17,36.2,18,38.3,12,25.5,0,0.0,12,25.5,26.5,26,27
13K20,P.S. 20 CLINTON HILL-3,P.S. 20 CLINTON HILL,3,289,18,36.7,19,38.8,12,24.5,0,0.0,12,24.5,24,24,24
14K016,#REF!,P.S. 16 LEONARD DUNKLY,3,291,14,36.8,15,39.5,9,23.7,0,0.0,9,23.7,#REF!,#REF!,#REF!
29Q037,CYNTHIA JENKINS SCHOOL-3,CYNTHIA JENKINS SCHOOL,3,291,30,35.7,35,41.7,19,22.6,0,0.0,19,22.6,23,22,24
14K147,P.S. 147 ISAAC REMSEN-3,P.S. 147 ISAAC REMSEN,3,279,16,55.2,7,24.1,6,20.7,0,0.0,6,20.7,12,12,12
13K093,P.S. 93 WILLIAM H. PRESCOTT-3,P.S. 93 WILLIAM H. PRESCOTT,3,286,15,35.7,19,45.2,8,19.0,0,0.0,8,19.0,#N/A,#N/A,#N/A
03M191,P.S. 191 AMSTERDAM-3,P.S. 191 AMSTERDAM,3,290,16,40.0,17,42.5,7,17.5,0,0.0,7,17.5,27,27,27
