st,county,STATE,composite,fipstxt,FIPS,count3
IL,Cook,Illinois,il_cook,17031,17031,15781
IN,Lake,Indiana,in_lake,18089,18089,2715
IL,DuPage,Illinois,il_dupage,17043,17043,1879
IN,Marion,Indiana,in_marion,18097,18097,1106
IL,Will,Illinois,il_will,17197,17197,909
IN,Porter,Indiana,in_porter,18127,18127,905
IL,Kane,Illinois,il_kane,17089,17089,761
IN,St. Joseph,Indiana,in_st. joseph,18141,18141,589
IL,Lake,Illinois,il_lake,17097,17097,456
MS,Coahoma,Mississippi,ms_coahoma,28027,28027,447
WI,Milwaukee,Wisconsin,wi_milwaukee,55079,55079,394
TN,Shelby,Tennessee,tn_shelby,47157,47157,362
MS,Hinds,Mississippi,ms_hinds,28049,28049,296
MS,Leflore,Mississippi,ms_leflore,28083,28083,291
AL,Jefferson,Alabama,al_jefferson,1073,1073,272
MS,Bolivar,Mississippi,ms_bolivar,28011,28011,272
IL,Kankakee,Illinois,il_kankakee,17091,17091,257
IN,LaPorte,Indiana,in_laporte,18091,18091,249
MN,Hennepin,Minnesota,mn_hennepin,27053,27053,249
MS,Washington,Mississippi,ms_washington,28151,28151,236
IL,Winnebago,Illinois,il_winnebago,17201,17201,226
IN,Allen,Indiana,in_allen,18003,18003,216
AZ,Maricopa,Arizona,az_maricopa,4013,4013,213
KY,Jefferson,Kentucky,ky_jefferson,21111,21111,186
AR,Pulaski,Arkansas,ar_pulaski,5119,5119,175
CA,Los Angeles,California,ca_los angeles,6037,6037,172
MS,Madison,Mississippi,ms_madison,28089,28089,165
TX,Harris,Texas,tx_harris,48201,48201,164
OH,Franklin,Ohio,oh_franklin,39049,39049,156
TX,Dallas,Texas,tx_dallas,48113,48113,156
MS,Yazoo,Mississippi,ms_yazoo,28163,28163,155
IN,Elkhart,Indiana,in_elkhart,18039,18039,144
IL,Champaign,Illinois,il_champaign,17019,17019,135
WI,Kenosha,Wisconsin,wi_kenosha,55059,55059,124
IN,Cass,Indiana,in_cass,18017,18017,117
IL,Sangamon,Illinois,il_sangamon,17167,17167,116
MS,Sunflower,Mississippi,ms_sunflower,28133,28133,113
MS,Grenada,Mississippi,ms_grenada,28043,28043,111
MS,Clay,Mississippi,ms_clay,28025,28025,110
WI,Dane,Wisconsin,wi_dane,55025,55025,110
AL,Madison,Alabama,al_madison,1089,1089,109
AR,Jefferson,Arkansas,ar_jefferson,5069,5069,107
IL,Peoria,Illinois,il_peoria,17143,17143,102
WI,Racine,Wisconsin,wi_racine,55101,55101,102
IN,Hendricks,Indiana,in_hendricks,18063,18063,101
MS,Tippah,Mississippi,ms_tippah,28139,28139,98
FL,Miami-Dade,Florida,fl_miami-dade,12086,12086,95
IN,Vigo,Indiana,in_vigo,18167,18167,95
AL,Montgomery,Alabama,al_montgomery,1101,1101,93
IL,McHenry,Illinois,il_mchenry,17111,17111,93
AR,Phillips,Arkansas,ar_phillips,5107,5107,92
MS,Lowndes,Mississippi,ms_lowndes,28087,28087,91
MI,Berrien,Michigan,mi_berrien,26021,26021,89
WI,Waukesha,Wisconsin,wi_waukesha,55133,55133,89
MS,Panola,Mississippi,ms_panola,28107,28107,88
IL,Vermilion,Illinois,il_vermilion,17183,17183,87
GA,Cobb,Georgia,ga_cobb,13067,13067,83
MS,Lee,Mississippi,ms_lee,28081,28081,83
MS,Jones,Mississippi,ms_jones,28067,28067,82
MS,Attala,Mississippi,ms_attala,28007,28007,81
WI,Rock,Wisconsin,wi_rock,55105,55105,81
IN,Howard,Indiana,in_howard,18067,18067,80
MS,Lauderdale,Mississippi,ms_lauderdale,28075,28075,80
GA,Clayton,Georgia,ga_clayton,13063,13063,79
IN,Johnson,Indiana,in_johnson,18081,18081,77
IL,Jackson,Illinois,il_jackson,17077,17077,76
TN,Davidson,Tennessee,tn_davidson,47037,47037,76
MA,Hampden,Massachusetts,ma_hampden,25013,25013,75
IN,Tippecanoe,Indiana,in_tippecanoe,18157,18157,74
MS,DeSoto,Mississippi,ms_desoto,28033,28033,74
GA,DeKalb,Georgia,ga_dekalb,13089,13089,73
OH,Hamilton,Ohio,oh_hamilton,39061,39061,72
IA,Linn,Iowa,ia_linn,19113,19113,71
IL,Macon,Illinois,il_macon,17115,17115,71
KY,McCracken,Kentucky,ky_mccracken,21145,21145,70
