Original_County	State	Guns	joinfield	state_fips	county_fips
ACCOMACK	VA	1	VA-ACCOMACK	#N/A	
ADA	ID	9	ID-ADA	#N/A	
ADAIR	KY	7	KY-ADAIR	#N/A	
ADAIR	MO	1	MO-ADAIR	#N/A	
ADAMS	CO	15	CO-ADAMS	#N/A	
ADAMS	IL	14	IL-ADAMS	#N/A	
ADAMS	IN	4	IN-ADAMS	#N/A	
ADAMS	MS	50	MS-ADAMS	#N/A	
ADAMS	NE	4	NE-ADAMS	#N/A	
ADAMS	OH	3	OH-ADAMS	#N/A	
ADAMS	PA	2	PA-ADAMS	#N/A	
ADAMS	WI	15	WI-ADAMS	#N/A	
AIKEN	SC	4	SC-AIKEN	#N/A	
AITKIN	MN	3	MN-AITKIN	#N/A	
ALACHUA	FL	4	FL-ALACHUA	#N/A	
ALAMANCE	NC	2	NC-ALAMANCE	#N/A	
ALAMEDA	CA	26	CA-ALAMEDA	#N/A	
ALAMOSA	CO	2	CO-ALAMOSA	#N/A	
ALBANY	NY	1	NY-ALBANY	#N/A	
ALBANY	WY	2	WY-ALBANY	#N/A	
ALBEMARLE	VA	2	VA-ALBEMARLE	#N/A	
ALCORN	MS	60	MS-ALCORN	#N/A	
ALEXANDER	NC	1	NC-ALEXANDER	#N/A	
ALEXANDRIA CITY	VA	9	VA-ALEXANDRIA CITY	#N/A	
ALGER	MI	1	MI-ALGER	#REF!	
ALLEGAN	MI	10	MI-ALLEGAN	#N/A	
ALLEGANY	MD	1	MD-ALLEGANY	#N/A	
ALLEGANY	NY	1	NY-ALLEGANY	#N/A	
ALLEGHENY	PA	23	PA-ALLEGHENY	#N/A	
ALLEN	IN	216	IN-ALLEN	#N/A	
ALLEN	KS	2	KS-ALLEN	#N/A	
ALLEN	KY	2	KY-ALLEN	#N/A	
ALLEN	LA	2	LA-ALLEN	#N/A	
ALLEN	OH	14	OH-ALLEN	#N/A	
ALPENA	MI	1	MI-ALPENA	#N/A	
AMADOR	CA	1	CA-AMADOR	#N/A	
AMELIA	VA	1	VA-AMELIA	#N/A	
ANCHORAGE	AK	19	AK-ANCHORAGE	#N/A	
ANDERSON	KS	2	KS-ANDERSON	#N/A	
ANDERSON	SC	8	SC-ANDERSON	#N/A	
ANDERSON	TN	11	TN-ANDERSON	#N/A	
ANDERSON	TX	1	TX-ANDERSON	#N/A	
ANDROSCOGGIN	ME	1	ME-ANDROSCOGGIN	#N/A	
ANGELINA	TX	3	TX-ANGELINA	#N/A	
ANNE ARUNDEL	MD	5	MD-ANNE ARUNDEL	#N/A	
ANOKA	MN	18	MN-ANOKA	#N/A	
APPANOOSE	IA	1	IA-APPANOOSE	#N/A	
APPLING	GA	3	GA-APPLING	#N/A	
APPOMATTOX	VA	1	VA-APPOMATTOX	#N/A	
ARAPAHOE	CO	18	CO-ARAPAHOE	#N/A	
ARKANSAS	AR	21	AR-ARKANSAS	#N/A	
AROOSTOOK	ME	2	ME-AROOSTOOK	#N/A	
ASCENSION	LA	5	LA-ASCENSION	#N/A	
ASHE	NC	5	NC-ASHE	#N/A	
ASHLAND	OH	39	OH-ASHLAND	#N/A	
ASHLAND	WI	1	WI-ASHLAND	#N/A	
ASHLEY	AR	12	AR-ASHLEY	#N/A	
ASHTABULA	OH	5	OH-ASHTABULA	#N/A	
ASSUMPTION	LA	1	LA-ASSUMPTION	#N/A	
ATHENS	OH	4	OH-ATHENS	#N/A	
ATLANTIC	NJ	3	NJ-ATLANTIC	#N/A	
ATOKA	OK	1	OK-ATOKA	#N/A	
ATTALA	MS	81	MS-ATTALA	#N/A	
AUDRAIN	MO	2	MO-AUDRAIN	#N/A	
AUGLAIZE	OH	8	OH-AUGLAIZE	#N/A	
AUTAUGA	AL	1	AL-AUTAUGA	#N/A	
AVOYELLES	LA	3	LA-AVOYELLES	#N/A	
BAILEY	TX	1	TX-BAILEY	#N/A	
BALDWIN	AL	5	AL-BALDWIN	#N/A	
BALDWIN	GA	6	GA-BALDWIN	#N/A	
BALLARD	KY	5	KY-BALLARD	#N/A	
BALTIMORE CITY	MD	4	MD-BALTIMORE CITY	#N/A	
BALTIMORE	MD	8	MD-BALTIMORE	#REF!	
BANDERA	TX	2	TX-BANDERA	#N/A	
BANNOCK	ID	1	ID-BANNOCK	#N/A	
BARBOUR	AL	4	AL-BARBOUR	#N/A	
BARNSTABLE	MA	1	MA-BARNSTABLE	#N/A	
BARREN	KY	9	KY-BARREN	#N/A	
BARRON	WI	12	WI-BARRON	#N/A	
BARROW	GA	2	GA-BARROW	#N/A	
BARRY	MI	8	MI-BARRY	#N/A	
BARTHOLOMEW	IN	25	IN-BARTHOLOMEW	#N/A	
BARTON	KS	3	KS-BARTON	#N/A	
BARTON	MO	2	MO-BARTON	#N/A	
BARTOW	GA	3	GA-BARTOW	#N/A	
BAXTER	AR	13	AR-BAXTER	#N/A	
BAY	FL	24	FL-BAY	#N/A	
BAY	MI	2	MI-BAY	#N/A	
BEAUFORT	SC	9	SC-BEAUFORT	#N/A	
BEAUREGARD	LA	2	LA-BEAUREGARD	#N/A	
BEAVER	PA	9	PA-BEAVER	#N/A	
BECKER	MN	2	MN-BECKER	#N/A	
BEDFORD	PA	1	PA-BEDFORD	#N/A	
BEDFORD	TN	10	TN-BEDFORD	#N/A	
BEDFORD	VA	2	VA-BEDFORD	#N/A	
BEE	TX	2	TX-BEE	#N/A	
BELL	KY	22	KY-BELL	#N/A	
BELL	TX	61	TX-BELL	#N/A	
BELMONT	OH	3	OH-BELMONT	#N/A	
BELTRAMI	MN	3	MN-BELTRAMI	#N/A	
BENT	CO	1	CO-BENT	#N/A	
BENTON	AR	14	AR-BENTON	#N/A	
BENTON	IA	5	IA-BENTON	#N/A	
BENTON	IN	1	IN-BENTON	#N/A	
BENTON	MN	3	MN-BENTON	#N/A	
BENTON	MO	1	MO-BENTON	#N/A	
BENTON	MS	7	MS-BENTON	#N/A	
BENTON	OR	1	OR-BENTON	#N/A	
BENTON	TN	7	TN-BENTON	#N/A	
BENTON	WA	3	WA-BENTON	#N/A	
BERKELEY	SC	5	SC-BERKELEY	#N/A	
BERKELEY	WV	2	WV-BERKELEY	#N/A	
BERKS	PA	7	PA-BERKS	#N/A	
BERKSHIRE	MA	1	MA-BERKSHIRE	#N/A	
BERNALILLO	NM	27	NM-BERNALILLO	#N/A	
BERRIEN	MI	89	MI-BERRIEN	#N/A	
BETHEL	AK	1	AK-BETHEL	#N/A	
BEXAR	TX	64	TX-BEXAR	#N/A	
BIBB	AL	6	AL-BIBB	#N/A	
BIBB	GA	31	GA-BIBB	#N/A	
BIENVILLE	LA	2	LA-BIENVILLE	#N/A	
BIG HORN	MT	2	MT-BIG HORN	#N/A	
BIG STONE	MN	1	MN-BIG STONE	#N/A	
BINGHAM	ID	4	ID-BINGHAM	#N/A	
BLACK HAWK	IA	31	IA-BLACK HAWK	#N/A	
BLACKFORD	IN	5	IN-BLACKFORD	#N/A	
BLADEN	NC	1	NC-BLADEN	#N/A	
BLAINE	ID	1	ID-BLAINE	#N/A	
BLAIR	PA	4	PA-BLAIR	#N/A	
BLANCO	TX	2	TX-BLANCO	#N/A	
BLAND	VA	1	VA-BLAND	#N/A	
BLOUNT	AL	1	AL-BLOUNT	#N/A	
BLOUNT	TN	10	TN-BLOUNT	#N/A	
BLUE EARTH	MN	8	MN-BLUE EARTH	#N/A	
BOLIVAR	MS	272	MS-BOLIVAR	#N/A	
BON HOMME	SD	1	SD-BON HOMME	#N/A	
BONNER	ID	2	ID-BONNER	#N/A	
BONNEVILLE	ID	7	ID-BONNEVILLE	#N/A	
BOONE	AR	2	AR-BOONE	#N/A	
BOONE	IA	1	IA-BOONE	#N/A	
BOONE	IL	16	IL-BOONE	#N/A	
BOONE	IN	15	IN-BOONE	#N/A	
BOONE	KY	19	KY-BOONE	#N/A	
BOONE	MO	5	MO-BOONE	#N/A	
BOONE	WV	3	WV-BOONE	#N/A	
BOSQUE	TX	2	TX-BOSQUE	#N/A	
BOSSIER	LA	15	LA-BOSSIER	#N/A	
BOTETOURT	VA	3	VA-BOTETOURT	#N/A	
BOTTINEAU	ND	1	ND-BOTTINEAU	#N/A	
BOULDER	CO	10	CO-BOULDER	#N/A	
BOURBON	KY	6	KY-BOURBON	#N/A	
BOWIE	AR	1	AR-BOWIE	#N/A	
BOWIE	TX	12	TX-BOWIE	#N/A	
BOX BUTTE	NE	2	NE-BOX BUTTE	#N/A	
BOYD	KY	25	KY-BOYD	#N/A	
BOYLE	KY	9	KY-BOYLE	#N/A	
BRADFORD	FL	1	FL-BRADFORD	#N/A	
BRADLEY	AR	8	AR-BRADLEY	#N/A	
BRADLEY	TN	6	TN-BRADLEY	#N/A	
BRANCH	MI	8	MI-BRANCH	#N/A	
BRAXTON	WV	3	WV-BRAXTON	#N/A	
BRAZORIA	TX	15	TX-BRAZORIA	#N/A	
BRAZOS	TX	15	TX-BRAZOS	#N/A	
BREATHITT	KY	4	KY-BREATHITT	#N/A	
BREMER	IA	2	IA-BREMER	#N/A	
BREVARD	FL	14	FL-BREVARD	#N/A	
BREWSTER	TX	1	TX-BREWSTER	#N/A	
BRISTOL	MA	1	MA-BRISTOL	#N/A	
BRISTOL	VA	3	VA-BRISTOL	#N/A	
BRONX	NY	3	NY-BRONX	#N/A	
BROOKE	WV	1	WV-BROOKE	#N/A	
BROOKINGS	SD	2	SD-BROOKINGS	#N/A	
BROOME	NY	2	NY-BROOME	#N/A	
BROWARD	FL	59	FL-BROWARD	#N/A	
BROWN	IL	1	IL-BROWN	#N/A	
BROWN	IN	6	IN-BROWN	#N/A	
BROWN	MN	2	MN-BROWN	#N/A	
BROWN	OH	2	OH-BROWN	#N/A	
BROWN	SD	2	SD-BROWN	#N/A	
BROWN	WI	68	WI-BROWN	#N/A	
BRYAN	GA	1	GA-BRYAN	#N/A	
BRYAN	OK	2	OK-BRYAN	#N/A	
BUCHANAN	IA	3	IA-BUCHANAN	#N/A	
BUCHANAN	MO	7	MO-BUCHANAN	#N/A	
BUCHANAN	VA	4	VA-BUCHANAN	#N/A	
BUCKS	PA	8	PA-BUCKS	#N/A	
BUENA VISTA	IA	4	IA-BUENA VISTA	#N/A	
BUFFALO	NE	4	NE-BUFFALO	#N/A	
BUFFALO	WI	1	WI-BUFFALO	#N/A	
BULLITT	KY	13	KY-BULLITT	#N/A	
BULLOCH	GA	2	GA-BULLOCH	#N/A	
BUNCOMBE	NC	2	NC-BUNCOMBE	#N/A	
BUREAU	IL	12	IL-BUREAU	#N/A	
BURKE	NC	1	NC-BURKE	#N/A	
BURLEIGH	ND	1	ND-BURLEIGH	#N/A	
BURNET	TX	1	TX-BURNET	#N/A	
BURNETT	WI	2	WI-BURNETT	#N/A	
BUTLER	AL	3	AL-BUTLER	#N/A	
BUTLER	KS	5	KS-BUTLER	#N/A	
BUTLER	KY	5	KY-BUTLER	#N/A	
BUTLER	MO	11	MO-BUTLER	#N/A	
BUTLER	OH	39	OH-BUTLER	#N/A	
BUTLER	PA	3	PA-BUTLER	#N/A	
BUTTE	CA	2	CA-BUTTE	#N/A	
BUTTE	SD	1	SD-BUTTE	#N/A	
CABARRUS	NC	5	NC-CABARRUS	#N/A	
CABELL	WV	22	WV-CABELL	#N/A	
CACHE	UT	1	UT-CACHE	#N/A	
CADDO	LA	66	LA-CADDO	#N/A	
CALCASIEU	LA	11	LA-CALCASIEU	#N/A	
CALDWELL	KY	8	KY-CALDWELL	#N/A	
CALDWELL	NC	9	NC-CALDWELL	#N/A	
CALHOUN	AL	33	AL-CALHOUN	#N/A	
CALHOUN	AR	1	AR-CALHOUN	#N/A	
CALHOUN	FL	1	FL-CALHOUN	#N/A	
CALHOUN	GA	1	GA-CALHOUN	#N/A	
CALHOUN	MI	23	MI-CALHOUN	#N/A	
CALHOUN	MS	14	MS-CALHOUN	#N/A	
CALLAWAY	MO	4	MO-CALLAWAY	#N/A	
CALLOWAY	KY	26	KY-CALLOWAY	#N/A	
CALUMET	WI	1	WI-CALUMET	#N/A	
CAMDEN	GA	2	GA-CAMDEN	#N/A	
CAMDEN	MO	2	MO-CAMDEN	#N/A	
CAMERON	TX	7	TX-CAMERON	#N/A	
CAMPBELL	KY	2	KY-CAMPBELL	#N/A	
CAMPBELL	TN	6	TN-CAMPBELL	#N/A	
CAMPBELL	WY	2	WY-CAMPBELL	#N/A	
CANADIAN	OK	4	OK-CANADIAN	#N/A	
CANDLER	GA	2	GA-CANDLER	#N/A	
CANYON	ID	3	ID-CANYON	#N/A	
CAPE GIRARDEAU	MO	8	MO-CAPE GIRARDEAU	#N/A	
CARBON	PA	1	PA-CARBON	#N/A	
CARLISLE	KY	1	KY-CARLISLE	#N/A	
CARLTON	MN	5	MN-CARLTON	#N/A	
CARROLL	AR	4	AR-CARROLL	#N/A	
CARROLL	GA	7	GA-CARROLL	#N/A	
CARROLL	IL	2	IL-CARROLL	#N/A	
CARROLL	IN	11	IN-CARROLL	#N/A	
CARROLL	KY	1	KY-CARROLL	#N/A	
CARROLL	MS	3	MS-CARROLL	#N/A	
CARROLL	NH	1	NH-CARROLL	#N/A	
CARROLL	OH	3	OH-CARROLL	#N/A	
CARROLL	TN	15	TN-CARROLL	#N/A	
CARROLL	VA	1	VA-CARROLL	#N/A	
CARSON CITY	NV	13	NV-CARSON CITY	#N/A	
CARTER	KY	6	KY-CARTER	#REF!	
CARTER	TN	5	TN-CARTER	#N/A	
CARTERET	NC	5	NC-CARTERET	#N/A	
CASCADE	MT	14	MT-CASCADE	#N/A	
CASEY	KY	2	KY-CASEY	#N/A	
CASS	IA	1	IA-CASS	#N/A	
CASS	IL	3	IL-CASS	#N/A	
CASS	IN	117	IN-CASS	#N/A	
CASS	MI	13	MI-CASS	#N/A	
CASS	MN	5	MN-CASS	#N/A	
CASS	MO	3	MO-CASS	#N/A	
CASS	ND	7	ND-CASS	#N/A	
CASS	TX	4	TX-CASS	#N/A	
CATAHOULA	LA	1	LA-CATAHOULA	#N/A	
CATAWBA	NC	7	NC-CATAWBA	#N/A	
CATOOSA	GA	4	GA-CATOOSA	#N/A	
CATRON	NM	1	NM-CATRON	#N/A	
CAYUGA	NY	1	NY-CAYUGA	#N/A	
CECIL	MD	1	MD-CECIL	#N/A	
CENTRE	PA	1	PA-CENTRE	#N/A	
CERRO GORDO	IA	7	IA-CERRO GORDO	#N/A	
CHAFFEE	CO	1	CO-CHAFFEE	#N/A	
CHAMBERS	AL	9	AL-CHAMBERS	#N/A	
CHAMPAIGN	IL	135	IL-CHAMPAIGN	#N/A	
CHAMPAIGN	OH	9	OH-CHAMPAIGN	#N/A	
CHARLES	MD	2	MD-CHARLES	#N/A	
CHARLESTON	SC	18	SC-CHARLESTON	#N/A	
CHARLOTTE	FL	4	FL-CHARLOTTE	#N/A	
CHARLOTTE	VA	1	VA-CHARLOTTE	#N/A	
CHATHAM	GA	15	GA-CHATHAM	#N/A	
